date,entry_utc,range_width,entry,exit,reason,R,peak_R,clock,dst,year
2025-10-03,2025-10-03 13:35:00,122.0,46717.2,46768.7,SL,1.0,2.161165048543746,dst_open,summer (EDT),2025
2025-10-07,2025-10-07 13:35:00,246.8000000000029,46821.2,46769.7,SL,-1.0,0.48737864077681203,dst_open,summer (EDT),2025
2025-10-09,2025-10-09 13:35:00,65.5,46680.6,46629.1,SL,-1.0,0.15922330097095855,dst_open,summer (EDT),2025
2025-10-10,2025-10-10 13:35:00,153.0,46598.5,46572.75,SL,-0.5,0.5922330097087378,dst_open,summer (EDT),2025
2025-10-20,2025-10-20 13:35:00,163.0,46411.4,46415.9,SL,0.08737864077669903,1.7242718446601093,dst_open,summer (EDT),2025
2025-10-23,2025-10-23 13:35:00,115.5,46659.2,46663.7,SL,0.08737864077669903,1.5844660194175888,dst_open,summer (EDT),2025
2025-10-29,2025-10-29 13:35:00,308.6000000000058,47925.5,47977.0,SL,1.0,2.5495145631068525,dst_open,summer (EDT),2025
2025-11-10,2025-11-10 14:35:00,170.8000000000029,47310.8,47259.3,SL,-1.0,0.0,dst_open,winter (EST),2025
2025-11-11,2025-11-11 14:35:00,109.09999999999854,47467.8,47416.3,SL,-1.0,0.3766990291261006,dst_open,winter (EST),2025
2025-11-12,2025-11-12 14:35:00,101.69999999999709,48297.8,48349.3,SL,1.0,2.5223300970872655,dst_open,winter (EST),2025
2025-11-26,2025-11-26 14:35:00,144.6999999999971,47323.3,47327.8,SL,0.08737864077669903,1.1669902912621077,dst_open,winter (EST),2025
2025-12-05,2025-12-05 14:35:00,167.09999999999854,47932.0,47936.5,SL,0.08737864077669903,1.361165048543661,dst_open,winter (EST),2025
2025-12-09,2025-12-09 14:35:00,137.8000000000029,47811.0,47815.5,SL,0.08737864077669903,0.8504854368932604,dst_open,winter (EST),2025
