score,profit_factor,sharpe_ratio,win_rate,max_drawdown,recovery_factor,total_trades,atr_multiplier,atr_period,ema_fast,ema_slow,max_entry_dist_atr,max_trades_per_day,min_body_pct
5.305875,1.463503,2.349199,0.592593,0.019047,107.161367,54,2.5,18,9,21,1.0,4,50.0
5.305875,1.463503,2.349199,0.592593,0.019047,107.161367,54,2.5,18,9,22,1.0,2,50.0
5.305875,1.463503,2.349199,0.592593,0.019047,107.161367,54,2.5,18,9,22,1.0,3,50.0
5.305875,1.463503,2.349199,0.592593,0.019047,107.161367,54,2.5,18,9,22,1.0,4,50.0
5.305519,1.443879,2.391694,0.55102,0.014207,173.913226,49,2.0,16,10,19,0.5,2,30.0
5.305012,1.487622,2.333581,0.561798,0.020477,184.648322,89,2.5,14,12,18,1.0,2,30.0
5.304662,1.440622,2.391225,0.553846,0.024667,168.307626,65,1.5,10,12,18,0.5,3,30.0
5.304662,1.440622,2.391225,0.553846,0.024667,168.307626,65,1.5,10,12,18,0.5,4,30.0
5.304289,1.493557,2.329105,0.552083,0.020505,192.921831,96,2.5,14,12,19,1.0,4,30.0
5.304115,1.429416,2.395084,0.568627,0.019702,190.445503,51,1.5,14,9,25,0.5,3,30.0
5.304115,1.429416,2.395084,0.568627,0.019702,190.445503,51,1.5,14,9,25,0.5,4,30.0
5.303197,1.434778,2.398154,0.54386,0.02294,225.586879,57,1.0,10,11,20,0.5,2,30.0
5.300562,1.421482,2.400214,0.553191,0.026624,175.498262,47,1.0,10,8,26,0.5,2,30.0
5.299366,1.441218,2.370729,0.55814,0.022809,125.971564,43,1.5,16,9,18,0.5,2,30.0
5.299304,1.424582,2.381965,0.574074,0.019288,200.335903,54,1.5,12,9,25,0.5,3,30.0
5.299304,1.424582,2.381965,0.574074,0.019288,200.335903,54,1.5,12,9,25,0.5,4,30.0
5.29816,1.443887,2.379028,0.527273,0.018708,201.52405,55,1.5,16,12,19,0.5,2,30.0
5.297746,1.445297,2.371784,0.535714,0.013782,204.359831,56,2.0,14,12,19,0.5,2,30.0
5.29151,1.443667,2.307197,0.627119,0.017452,125.604792,59,2.5,18,8,26,1.0,3,50.0
5.29151,1.443667,2.307197,0.627119,0.017452,125.604792,59,2.5,18,8,26,1.0,4,50.0
5.290521,1.422357,2.358005,0.568627,0.01497,185.809174,51,2.0,14,9,25,0.5,3,30.0
5.290521,1.422357,2.358005,0.568627,0.01497,185.809174,51,2.0,14,9,25,0.5,4,30.0
5.289492,1.471249,2.294893,0.573913,0.014525,369.471367,115,2.0,16,12,18,1.0,3,50.0
5.288708,1.429118,2.357204,0.542373,0.025614,204.347869,59,1.0,10,11,18,0.5,2,30.0
5.286856,1.508847,2.27457,0.509259,0.028737,124.665164,108,2.5,18,11,19,1.5,2,50.0
5.286856,1.508847,2.27457,0.509259,0.028737,124.665164,108,2.5,18,11,20,1.5,2,50.0
5.286618,1.428765,2.338816,0.566038,0.01816,188.533139,53,1.5,14,10,19,0.5,3,30.0
5.286618,1.428765,2.338816,0.566038,0.01816,188.533139,53,1.5,14,10,19,0.5,4,30.0
5.286537,1.437654,2.347558,0.527273,0.014199,197.199986,55,2.0,16,12,19,0.5,2,30.0
5.285438,1.425741,2.335716,0.571429,0.017769,200.121248,56,1.5,12,10,19,0.5,3,30.0
5.285438,1.425741,2.335716,0.571429,0.017769,200.121248,56,1.5,12,10,19,0.5,4,30.0
5.285234,1.464367,2.293425,0.564516,0.015861,156.675358,62,2.5,14,11,19,1.0,2,50.0
5.285234,1.464367,2.293425,0.564516,0.015861,156.675358,62,2.5,14,11,20,1.0,2,50.0
5.28519,1.469282,2.291608,0.556391,0.027248,299.814593,133,1.5,14,11,19,1.0,2,30.0
5.284129,1.433114,2.329394,0.55814,0.017351,122.604782,43,2.0,16,9,18,0.5,2,30.0
5.284049,1.438895,2.334211,0.534483,0.028381,129.744511,58,1.5,14,12,21,0.5,2,30.0
5.283297,1.456364,2.303976,0.54918,0.036113,283.633021,122,1.0,16,8,21,1.0,2,30.0
5.283205,1.466342,2.279117,0.575,0.01803,309.237252,120,2.0,16,12,18,1.0,4,50.0
5.280151,1.435225,2.282394,0.62069,0.017452,123.214999,58,2.5,18,8,25,1.0,2,50.0
5.280151,1.435225,2.282394,0.62069,0.017452,123.214999,58,2.5,18,8,25,1.0,3,50.0
